iter	Logloss
0	0.6903115234
1	0.687446582
2	0.6847642578
3	0.6822645508
4	0.6800673828
5	0.6781302246
6	0.6759678711
7	0.6741930176
8	0.6725160156
9	0.6706482422
10	0.6692144531
11	0.6674443359
12	0.666020752
13	0.6645326172
14	0.6633744141
15	0.6622130859
16	0.6611710938
17	0.6597380859
18	0.658428418
19	0.6571567383
20	0.6558555664
21	0.6547317383
22	0.6536136719
23	0.6525936523
24	0.651617334
25	0.650553125
26	0.6496647461
27	0.6488635254
28	0.6479813477
29	0.6471705078
30	0.6461053711
31	0.6451304688
32	0.6445339355
33	0.6436867188
34	0.6427428223
35	0.6419499023
36	0.6412519043
37	0.6406526367
38	0.6398385742
39	0.6390325195
40	0.6383427734
41	0.6375990234
42	0.6369665039
43	0.636179541
44	0.635620752
45	0.6349036133
46	0.6343771484
47	0.6338255859
48	0.6333854492
49	0.6328692383
50	0.6322242188
51	0.6316637695
52	0.6312736328
53	0.6306433105
54	0.6300308594
55	0.6294881836
56	0.6288794922
57	0.6284251465
58	0.6279244141
59	0.6274705078
60	0.6268689453
61	0.626402832
62	0.6259942871
63	0.6256108398
64	0.6251638184
65	0.6246412598
66	0.6240270508
67	0.6236809082
68	0.6232504883
69	0.6229480469
70	0.6225625488
71	0.6222588867
72	0.6218568359
73	0.6215981445
74	0.6212831055
75	0.6208174316
76	0.6205588867
77	0.6199867187
78	0.6195206543
79	0.6191414063
80	0.6188604492
81	0.6185310547
82	0.6181921875
83	0.6177826172
84	0.617360498
85	0.6171427734
86	0.616824707
87	0.6164449707
88	0.6160977539
89	0.6158396973
90	0.615609375
91	0.615303125
92	0.615027002
93	0.614794043
94	0.6144451172
95	0.6142270508
96	0.6139529297
97	0.6135334961
98	0.6132047852
99	0.6128762695
100	0.6126686523
101	0.6124288574
102	0.6122106445
103	0.6120311035
104	0.611814502
105	0.6115952148
106	0.6112847168
107	0.6110143555
108	0.6108433105
109	0.6105123047
110	0.610239502
111	0.6099834961
112	0.6098088867
113	0.6095820312
114	0.6093118164
115	0.6091763672
116	0.6090308105
117	0.6087618164
118	0.6085187012
119	0.6082578125
120	0.6081
121	0.6079364746
122	0.6077124023
123	0.6075287109
124	0.6073007812
125	0.6070154297
126	0.6067543457
127	0.6065998047
128	0.6063791992
129	0.6061989258
130	0.6059709961
131	0.6058063965
132	0.6056461914
133	0.6054992188
134	0.6053452148
135	0.605190332
136	0.6049750977
137	0.6047500977
138	0.6046085937
139	0.6044262695
140	0.6042580078
141	0.6041165039
142	0.6038888672
143	0.6036106934
144	0.6034185547
145	0.6032147461
146	0.6030057617
147	0.6028387207
148	0.602667041
149	0.6023848633
150	0.6021637695
151	0.6019265625
152	0.6015816406
153	0.6014680176
154	0.6012714844
155	0.6010546875
156	0.6009240234
157	0.6008080566
158	0.6006562012
159	0.6004850586
160	0.6001919922
161	0.6000604492
162	0.5998892578
163	0.5997413086
164	0.5996006348
165	0.5994494141
166	0.5993501465
167	0.599115625
168	0.5989643555
169	0.5987772461
170	0.5986000977
171	0.598322168
172	0.5981138672
173	0.5979493164
174	0.5977422363
175	0.5976213379
176	0.5974431641
177	0.5973193848
178	0.5970054688
179	0.5967722168
180	0.5966585937
181	0.5964913086
182	0.5963476562
183	0.5961712891
184	0.5960063477
185	0.5958787109
186	0.5957678223
187	0.5956294922
188	0.5954621094
189	0.5953458984
190	0.5951833984
191	0.5950682617
192	0.5949387207
193	0.5948174805
194	0.5945586914
195	0.5943886719
196	0.5942275391
197	0.5941173828
198	0.5940010742
199	0.5937440918
200	0.5935782227
201	0.5934707031
202	0.5933166992
203	0.5932038086
204	0.5931121582
205	0.5930047363
206	0.5928529785
207	0.5926992676
208	0.5925578125
209	0.5923947266
210	0.5922998535
211	0.5922460938
212	0.592137207
213	0.5919705078
214	0.5918575684
215	0.5917051758
216	0.591619043
217	0.5915331055
218	0.5913824219
219	0.5912898926
220	0.5912331055
221	0.5910952148
222	0.5909376465
223	0.5908619141
224	0.5907919434
225	0.5906490234
226	0.5906013184
227	0.5904567383
228	0.5902519531
229	0.5900646484
230	0.5899873535
231	0.5898276855
232	0.5896575195
233	0.5895192383
234	0.5893722656
235	0.5892802734
236	0.5891475586
237	0.5890205566
238	0.5889009277
239	0.588753125
240	0.5886053711
241	0.5885360352
242	0.5884274414
243	0.5883330078
244	0.5881543945
245	0.5879927734
246	0.587776416
247	0.587603418
248	0.5874289062
249	0.5873525391
250	0.587295166
251	0.5871989258
252	0.587052002
253	0.5868856934
254	0.5867543457
255	0.586595166
256	0.5864767578
257	0.5863785156
258	0.5863074219
259	0.586156543
260	0.5860841797
261	0.5859589844
262	0.5858466309
263	0.5857385742
264	0.5856226562
265	0.585529834
266	0.5853862305
267	0.5852395508
268	0.5850783691
269	0.5849926758
270	0.584875
271	0.5847753906
272	0.5846880859
273	0.5844519043
274	0.5843535156
275	0.5842924805
276	0.5842702148
277	0.5841763672
278	0.5840791016
279	0.5839306641
280	0.5838332031
281	0.5837234375
282	0.5835998535
283	0.5835333008
284	0.5834623047
285	0.5833526855
286	0.583288623
287	0.5831884766
288	0.5830154297
289	0.5828674316
290	0.5827662109
291	0.5826807617
292	0.5825827148
293	0.5824699707
294	0.5823532227
295	0.5822834473
296	0.5821441406
297	0.5820152832
298	0.5819478516
299	0.5818349609
300	0.5816992187
301	0.5815615234
302	0.5814035156
303	0.5811955078
304	0.5811383789
305	0.5810559082
306	0.5809150391
307	0.5808275391
308	0.580675
309	0.580510791
310	0.5803576172
311	0.5802086914
312	0.5801251953
313	0.5799204102
314	0.5797744141
315	0.5797307617
316	0.5796272461
317	0.5794616699
318	0.5793836426
319	0.579313916
320	0.5791871094
321	0.5790801758
322	0.5789739258
323	0.5788581543
324	0.5787072266
325	0.5785822754
326	0.5784039063
327	0.5782808105
328	0.5781089844
329	0.5780462891
330	0.5778894043
331	0.5777326172
332	0.5776866211
333	0.5775814453
334	0.5774589355
335	0.5773927734
336	0.5773040527
337	0.577193457
338	0.5770257813
339	0.5768674805
340	0.5767688965
341	0.5766744141
342	0.5765634277
343	0.576498291
344	0.5763592773
345	0.5762134277
346	0.5761094238
347	0.575954541
348	0.5757817871
349	0.5755923828
350	0.5755025391
351	0.5754064453
352	0.5752953125
353	0.5751944336
354	0.575112793
355	0.5749776367
356	0.574880127
357	0.5747535156
358	0.5745995605
359	0.574454834
360	0.5743756836
361	0.5742849609
362	0.5741063477
363	0.5739438477
364	0.573827002
365	0.5736272461
366	0.5735469727
367	0.5733987793
368	0.573248584
369	0.5730935547
370	0.5729293457
371	0.5727616699
372	0.572734375
373	0.5725591797
374	0.5724145508
375	0.5723437012
376	0.5722591797
377	0.5721352539
378	0.5719981934
379	0.571861377
380	0.5717438965
381	0.5716486816
382	0.5715423828
383	0.5714142578
384	0.5713353027
385	0.5711805176
386	0.5711179687
387	0.5709668945
388	0.5708449707
389	0.5707708984
390	0.5706103516
391	0.5704776367
392	0.5703749023
393	0.570274707
394	0.570162793
395	0.5700374023
396	0.5699371094
397	0.5698132812
398	0.5697719727
399	0.5697211914
400	0.5695891113
401	0.5694236816
402	0.5692742676
403	0.5692180664
404	0.5691166016
405	0.5688804199
406	0.5688441895
407	0.5687066406
408	0.5686214844
409	0.5685564453
410	0.5684172852
411	0.5682780273
412	0.5681036133
413	0.5679695313
414	0.5678199219
415	0.567714209
416	0.5676211426
417	0.5675343262
418	0.5674191406
419	0.5672861816
420	0.5671660156
421	0.5670521484
422	0.5669615234
423	0.5668424316
424	0.5667485352
425	0.5666521484
426	0.5665161133
427	0.5663569336
428	0.5662662598
429	0.5661592773
430	0.5660665039
431	0.5658630371
432	0.5657556641
433	0.5657043945
434	0.5655941406
435	0.5654445801
436	0.565328418
437	0.5652135742
438	0.5651515625
439	0.5650137695
440	0.5648751465
441	0.5647771484
442	0.5646504883
443	0.564501123
444	0.5644241699
445	0.5643654297
446	0.5642629883
447	0.5641847656
448	0.5640649902
449	0.5639863281
450	0.563852002
451	0.5636807617
452	0.5636142578
453	0.5635552734
454	0.5634845703
455	0.5633922852
456	0.5632634277
457	0.5631442871
458	0.5630928711
459	0.5630083984
460	0.5628362305
461	0.562716748
462	0.5626544922
463	0.5625458984
464	0.5624760742
465	0.5623861328
466	0.5622767578
467	0.5621595703
468	0.5620586914
469	0.5619459961
470	0.5618083984
471	0.5617452637
472	0.5615690918
473	0.561532373
474	0.5614737793
475	0.5613794434
476	0.5612783203
477	0.5611909668
478	0.5611012207
479	0.5609825195
480	0.560895459
481	0.560816748
482	0.5607450684
483	0.5606709961
484	0.5605612305
485	0.5604811523
486	0.5603948242
487	0.5602867188
488	0.5601967773
489	0.5600396484
490	0.5598754883
491	0.5597203125
492	0.5595625
493	0.5594802734
494	0.5593455078
495	0.5592719727
496	0.5592236328
497	0.5591276367
498	0.5590600098
499	0.5589718262
