iter	Passed	Remaining
0	7	3558
1	13	3378
2	17	2972
3	22	2809
4	26	2654
5	31	2564
6	35	2527
7	39	2458
8	44	2409
9	46	2298
10	49	2218
11	52	2146
12	55	2088
13	58	2031
14	60	1970
15	63	1925
16	65	1862
17	67	1811
18	70	1774
19	72	1739
20	74	1706
21	76	1671
22	78	1634
23	80	1601
24	82	1570
25	84	1547
26	87	1524
27	88	1498
28	90	1477
29	92	1455
30	94	1434
31	96	1416
32	98	1393
33	100	1377
34	102	1363
35	104	1349
36	106	1334
37	108	1319
38	111	1314
39	113	1302
40	115	1288
41	116	1273
42	118	1258
43	120	1246
44	122	1237
45	124	1226
46	126	1215
47	127	1201
48	129	1191
49	131	1182
50	133	1172
51	135	1163
52	136	1154
53	138	1146
54	140	1136
55	142	1127
56	143	1119
57	145	1111
58	147	1103
59	149	1093
60	150	1086
61	152	1076
62	154	1069
63	156	1063
64	157	1055
65	159	1046
66	160	1039
67	162	1033
68	164	1025
69	165	1019
70	167	1013
71	169	1007
72	171	1001
73	172	994
74	174	989
75	176	982
76	177	977
77	179	971
78	181	966
79	183	960
80	184	955
81	186	950
82	188	945
83	189	940
84	191	933
85	192	928
86	194	923
87	195	917
88	197	912
89	199	908
90	201	903
91	202	899
92	204	895
93	206	890
94	207	885
95	209	880
96	211	876
97	212	872
98	214	869
99	216	864
100	217	860
101	219	855
102	220	850
103	221	845
104	223	841
105	225	837
106	226	832
107	228	828
108	229	824
109	231	820
110	233	817
111	235	814
112	236	810
113	238	807
114	239	803
115	241	799
116	243	795
117	244	791
118	246	788
119	247	784
120	249	781
121	251	778
122	252	774
123	254	771
124	256	768
125	257	765
126	259	761
127	261	758
128	262	755
129	264	752
130	266	749
131	267	746
132	269	742
133	270	738
134	272	735
135	273	731
136	274	728
137	276	724
138	277	721
139	279	718
140	280	714
141	282	710
142	283	707
143	284	703
144	286	700
145	287	697
146	289	694
147	290	690
148	291	687
149	293	684
150	294	681
151	296	678
152	297	675
153	299	672
154	300	669
155	302	666
156	303	664
157	305	661
158	307	659
159	308	656
160	310	654
161	312	651
162	314	649
163	315	646
164	317	644
165	319	641
166	320	639
167	322	637
168	324	634
169	325	632
170	327	629
171	329	627
172	330	624
173	332	622
174	333	619
175	335	617
176	337	615
177	338	612
178	340	610
179	342	608
180	343	606
181	345	603
182	347	601
183	348	598
184	350	596
185	351	594
186	353	591
187	355	589
188	356	587
189	358	584
190	359	582
191	361	579
192	363	577
193	364	575
194	366	573
195	368	570
196	369	568
197	371	566
198	373	564
199	375	562
200	376	560
201	378	558
202	380	556
203	382	554
204	383	552
205	385	550
206	387	547
207	388	545
208	390	543
209	392	541
210	393	539
211	395	537
212	397	535
213	398	533
214	400	531
215	402	529
216	404	527
217	406	525
218	407	522
219	409	520
220	410	518
221	412	516
222	414	514
223	415	512
224	417	510
225	419	508
226	421	506
227	422	504
228	424	502
229	425	500
230	427	497
231	429	495
232	430	493
233	432	491
234	434	489
235	436	487
236	437	485
237	439	483
238	441	481
239	443	479
240	444	477
241	446	475
242	447	473
243	449	471
244	451	469
245	452	467
246	454	465
247	456	463
248	457	461
249	459	459
250	461	457
251	463	455
252	464	453
253	466	451
254	467	449
255	469	447
256	471	445
257	473	443
258	474	441
259	476	439
260	478	437
261	480	436
262	481	433
263	483	431
264	485	430
265	486	428
266	488	426
267	489	424
268	491	421
269	492	419
270	494	418
271	496	416
272	497	414
273	499	412
274	501	410
275	503	408
276	504	406
277	506	404
278	508	402
279	509	400
280	511	398
281	513	396
282	514	394
283	516	392
284	518	391
285	520	389
286	521	387
287	523	385
288	525	383
289	527	381
290	528	379
291	530	377
292	531	375
293	533	373
294	534	371
295	536	369
296	538	367
297	539	365
298	541	364
299	543	362
300	545	360
301	546	358
302	548	356
303	550	354
304	552	353
305	554	351
306	555	349
307	557	347
308	559	345
309	561	343
310	562	342
311	564	340
312	566	338
313	568	336
314	569	334
315	571	332
316	573	330
317	575	329
318	576	327
319	578	325
320	580	323
321	581	321
322	583	319
323	585	318
324	586	315
325	588	314
326	590	312
327	591	310
328	593	308
329	595	306
330	596	304
331	598	302
332	600	300
333	601	299
334	603	297
335	605	295
336	607	293
337	608	291
338	610	289
339	612	288
340	614	286
341	615	284
342	617	282
343	619	280
344	620	278
345	622	276
346	624	275
347	625	273
348	627	271
349	629	269
350	630	267
351	632	266
352	634	264
353	636	262
354	638	260
355	639	258
356	641	256
357	643	255
358	644	253
359	646	251
360	648	249
361	650	247
362	651	246
363	653	244
364	655	242
365	656	240
366	658	238
367	660	236
368	662	235
369	663	233
370	665	231
371	667	229
372	669	227
373	670	226
374	672	224
375	674	222
376	676	220
377	677	218
378	679	216
379	681	215
380	682	213
381	684	211
382	686	209
383	687	207
384	689	205
385	691	204
386	692	202
387	694	200
388	696	198
389	697	196
390	699	195
391	701	193
392	703	191
393	704	189
394	706	187
395	708	186
396	710	184
397	711	182
398	713	180
399	715	178
400	719	177
401	721	175
402	723	174
403	724	172
404	726	170
405	728	168
406	730	166
407	731	165
408	733	163
409	735	161
410	737	159
411	738	157
412	740	155
413	742	154
414	744	152
415	745	150
416	747	148
417	749	147
418	751	145
419	752	143
420	754	141
421	756	139
422	757	137
423	759	136
424	761	134
425	763	132
426	764	130
427	766	128
428	768	127
429	770	125
430	771	123
431	773	121
432	775	119
433	776	118
434	778	116
435	780	114
436	782	112
437	783	110
438	785	109
439	787	107
440	789	105
441	790	103
442	792	101
443	794	100
444	796	98
445	797	96
446	799	94
447	801	93
448	803	91
449	805	89
450	806	87
451	808	85
452	809	84
453	811	82
454	813	80
455	814	78
456	816	76
457	818	75
458	820	73
459	822	71
460	823	69
461	825	67
462	827	66
463	828	64
464	830	62
465	832	60
466	834	58
467	835	57
468	837	55
469	839	53
470	840	51
471	842	49
472	844	48
473	846	46
474	847	44
475	849	42
476	851	41
477	853	39
478	854	37
479	856	35
480	858	33
481	860	32
482	861	30
483	863	28
484	864	26
485	866	24
486	868	23
487	870	21
488	871	19
489	873	17
490	875	16
491	877	14
492	878	12
493	880	10
494	882	8
495	883	7
496	885	5
497	887	3
498	888	1
499	890	0
